Town,Reference Number,Exempt Code,Exempt Code Description,Address,Owner or Facility,Acres,Volume and Page,Land Assessment,Building Assessment,Total Assessment,OPM Assessment,Location
Haddam,P0499400,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 POKORNY RD,CONN STATE OF,8.46,221/425,"$9,280",$0,"$9,280","$9,280",POINT (-72.563778342 41.4510059)
Andover,1272,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 BEAR SWAMP RD,CONNECTICUT STATE OF,2,23/24,"$1,960",$0,"$1,960","$1,960",POINT (-72.355239428 41.747170828)
Guilford,8613,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 SAW PIT RD,STATE OF CONN,99.8,177/620,"$36,960",$0,"$36,960","$36,960",POINT (-72.665449704 41.278176998)
East Haven,C9016100,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00140 NORTH HIGH ST,STATE OF CONNECTICUT,0.57,163/629,"$4,340",$0,"$4,340","$4,340",POINT (-72.870536394 41.283073367)
Bridgeport,1928--40-------,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00500 PALISADE AV,STATE OF CONN,23,0/0,"$4,025,000","$25,103,240","$29,128,240","$29,128,240",POINT (-73.162708959 41.199747003)
East Hampton,R20017,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 WEST HIGH ST,CONNECTICUT STATE OF,0.29,64/282,"$36,090",$0,"$36,090","$36,090",POINT (-72.526680819 41.570602605)
Groton,260814247043 E,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",BROOK ST,CONNECTICUT STATE OF DEP,48.61,772/417,"$553,280",$0,"$553,280","$553,280",POINT (-72.002782921 41.330907435)
Danbury,J13001,ODBX,"Education (Colleges, vocational trade schools, practice training schools, state institutions for mentally retarded and epileptic persons, state schools for the",00000 WHITE ST,STATE OF CONNECTICUT,7.28,0/0,"$2,807,490","$17,097,430","$19,904,920","$19,904,920",POINT (-73.443461546 41.399469986)
Hartland,98100911,OGBX,"Recreation (State forests, state fish hatcheries, game preserves, state parks, state monuments, Indian reservation, boat launching areas, any others)",00000 POND HILL RD,STATE OF CONNECTICUT,158,0/0,"$221,200",$0,"$221,200","$221,200",POINT (-73.00745638 42.014674618)
Colchester,C0559100,OIBX,"Miscellaneous (flood control, vacant land and acreage, wetlands, miscellaneous)",00000 FOX RIDGE DR,CONNECTICUT STATE OF,15.11,401/307,"$61,600",$0,"$61,600","$61,600",POINT (-72.43441499 41.536645008)
Enfield,012700020017,OHBX,"Transportation (Garages, sand and gravel banks, weight scale property, property used for maintenance, property used for administration, airports, state pier and",00000 S RIVER ST,CONNECTICUT STATE OF,0.06,2838/1090,"$2,600",$0,"$2,600","$2,600",POINT (-72.603625608 41.996136698)
