ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Unnamed_Column_11,Unnamed_Column_12
13512464,JH326793,06/29/2024 03:39:00 AM,069XX S MICHIGAN AVE,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE - GARAGE,False,False,0322,003
13511670,JH325853,06/28/2024 07:00:00 PM,024XX S ST LOUIS AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1024,010
13511277,JH324960,06/28/2024 12:24:00 AM,052XX N LIANO AVE,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,False,False,1623,016
13510458,JH324332,06/27/2024 11:37:00 PM,015XX W DIVISION ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,1213,012
13512700,JH326177,06/29/2024 03:00:00 AM,068XX S PARNELL AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,0722,007
13519723,JH335151,06/30/2024 04:00:00 AM,026XX W EVERGREEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1423,014
13511602,JH325793,06/29/2024 03:30:00 AM,001XX E 50TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,ALLEY,False,True,0224,002
13512818,JH326991,06/29/2024 11:30:00 PM,001XX N MICHIGAN AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,0111,001
13512293,JH326524,06/29/2024 04:47:00 PM,009XX W RANDOLPH ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1224,012
13515141,JH327447,06/30/2024 11:27:00 AM,059XX S GREEN ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - YARD (FRONT / BACK),False,True,0712,007
13514373,JH327928,06/30/2024 02:00:00 AM,004XX S KOSTNER AVE,0430,BATTERY,AGGRAVATED - OTHER DANGEROUS WEAPON,GAS STATION,False,False,1131,011
13512504,JH326651,06/29/2024 06:36:00 PM,070XX S RACINE AVE,0810,THEFT,OVER $500,STREET,False,False,0733,007
13512058,JH326241,06/29/2024 12:53:00 PM,0000X W 87TH ST,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA PLATFORM,True,False,0634,006
13510527,JH324327,06/27/2024 10:00:00 PM,045XX N WOLCOTT AVE,0560,ASSAULT,SIMPLE,ALLEY,False,False,1912,019
