Report Number,Local Case Number,Agency Name,ACRS Report Type,Crash Date/Time,Hit/Run,Route Type,Lane Direction,Lane Type,Number of Lanes,Direction,Distance,Distance Unit,Road Grade,Road Name,Cross-Street Name,Off-Road Description,Unnamed_Column_18,Unnamed_Column_19
EJ78990018,240030313,GAITHERSBURG,Property Damage Crash,06/27/2024 02:21:00 AM,No,Municipality Route,Not On Roadway,Gore Area,1,South,16.36,FEET,Level,BROOKS AVE,,,,
Single Vehicle,Clear,,Dark - Lighted,,"Suspect of Alcohol Use, Suspect of Drug Use",,Culvert,,,,,,,39.03024574,-77.00618412,"(39.03024574°, -77.00618412°)",,
MCP3158004X,240030317,MONTGOMERY,Property Damage Crash,06/27/2024 05:50:00 AM,No,,,,0,,,FEET,,,,Parking Lot Way BACK LOT OF 8751 SNOUFFER SCHOOL RD,,
Single Vehicle,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Curb,"Other Fixed Object (wall, building, tunnel, etc.)",Driveway Access or Related,,Curve Right,No Defects,"Divided, Raised Median (curbed)",39.11590483,-77.19844755,"(39.11590483°, -77.19844755°)",,
MCP2752006G,240030425,MONTGOMERY,Property Damage Crash,06/27/2024 03:30:00 PM,,Maryland (State) Route,Eastbound,Left Turn Lane,3,West,21.16,FEET,Level,RIVER RD,,,,
Single Vehicle,Clear,Dry,Dark - Lighted,"No Controls, Traffic Control Signal","Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Curb,Parked Vehicle,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (curbed), Not Divided",39.07698426,-77.13947184,"(39.07698426°, -77.13947184°)",,
DD5633008Z,240030159,ROCKVILLE,Property Damage Crash,06/26/2024 07:24:00 AM,No,Municipality Route,"Eastbound, Northbound",Lane 1,"2, 4",North,0,FEET,Level,EDMONSTON DR (SB/L),W EDMONSTON DR,,,
Single Vehicle,Clear,Dry,Dark - Lighted,No Controls,"Suspect of Alcohol Use, Not Suspect of Drug Use",,Curb,Tree (standing),Driveway Access or Related,,Straight,No Defects,Not Divided,39.28762502,-77.2071544,"(39.28762502°, -77.2071544°)",,
Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Through Roadway,,Straight,No Defects,Not Divided,38.99912946,-77.02608342,"(38.99912946°, -77.02608342°)",,
MCP2356003T,240030436,MONTGOMERY,Property Damage Crash,06/27/2024 04:40:00 PM,No,County Route,Eastbound,Unknown,2,South,9.46,FEET,Level,E GUDE DR,,,,
MCP28980050,240030919,MONTGOMERY,Property Damage Crash,06/30/2024 04:20:00 PM,No,County Route,Northbound,Lane 1,2,South,0,FEET,Uphill,OXBRIDGE DR,FREDERICK RD,,,
"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Parked Vehicle,,,,Straight,No Defects,Not Divided,39.07222597,-77.13114854,"(39.07222597°, -77.13114854°)",,
MCP3271004P,240030426,MONTGOMERY,Property Damage Crash,06/26/2024 08:00:00 PM,,Municipality Route,Eastbound,Lane 1,1,East,43.51,FEET,Downhill,FRANKLIN ST,,,,
Angle,Clear,Dry,Daylight,Lane Use Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,Not Divided,39.00007459,-77.02580611,"(39.00007459°, -77.02580611°)",,
Rear To Side,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (curbed)",39.07446356,-77.13576997,"(39.07446356°, -77.13576997°)",,
Angle,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,"Not Divided, With a Continuous Left-Turn Lane",39.14486679,-77.14448177,"(39.14486679°, -77.14448177°)",,
MCP9118004L,240030838,MONTGOMERY,Property Damage Crash,06/30/2024 12:07:00 AM,No,County Route,"Unknown, Westbound","Left Turn Lane, Other","0, 2",West,0,FEET,Level,SHOREFIELD RD,GEORGIA AVE (SB/L),,,
"Sideswipe, Opposite Direction",Clear,,Dark - Lighted,,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Parked Vehicle,,,,,,,39.09044061,-77.07316093,"(39.09044061°, -77.07316093°)",,
Single Vehicle,Clear,Dry,Daylight,"Person (including flagger, law enforcement, crossing guard, etc.","Not Suspect of Alcohol Use, Not Suspect of Drug Use","Not Suspect of Alcohol Use, Not Suspect of Drug Use",Pedestrian,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (curbed)",39.05090634,-77.12610338,"(39.05090634°, -77.12610338°)",,
Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,"Divided, Raised Median (curbed)",39.08563249,-77.17016906,"(39.08563249°, -77.17016906°)",,
Front to Front,Clear,Dry,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Entrance/Exit Ramp or Related,,Curve Right,No Defects,Not Divided,39.12806333,-77.16083667,"(39.12806333°, -77.16083667°)",,
Other,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Entrance/Exit Ramp or Related,,Straight,No Defects,"Divided, Flush Median (greater than 4ft wide), Not Divided",39.11181776,-77.18714538,"(39.11181776°, -77.18714538°)",,
DD5652004N,240030401,ROCKVILLE,Property Damage Crash,06/27/2024 02:19:00 PM,No,Municipality Route,Southbound,"Lane 1, Shoulder Area",1,North,11.8,FEET,Level,LEWIS AVE,,,,
Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,Not Divided,39.16974876,-77.204625,"(39.16974876°, -77.204625°)",,
Front to Rear,Clear,Dry,Dark - Not Lighted,No Controls,"Suspect of Alcohol Use, Not Suspect of Drug Use",,Parked Vehicle,Parked Vehicle,Through Roadway,,Straight,No Defects,Not Divided,39.04798333,-77.07927,"(39.04798333°, -77.07927°)",,
"Sideswipe, Same Direction",Clear,,Daylight,,"Unknown, Unknown",,Parked Vehicle,,,,,,,39.08763267,-76.94148051,"(39.08763267°, -76.94148051°)",,
Angle,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Not Applicable,Driveway Access or Related,,Straight,No Defects,Not Divided,39.16546853,-77.16921658,"(39.16546853°, -77.16921658°)",,
MCP28630036,240030274,MONTGOMERY,Injury Crash,06/26/2024 05:11:00 PM,No,Municipality Route,"Eastbound, Southbound","Lane 3, Left Turn Lane",4,North,0,FEET,Level,E DEER PARK DR,W DEER PARK RD,,,
Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (curbed)",39.09058719,-77.04477308,"(39.09058719°, -77.04477308°)",,
MCP3271004N,240030233,MONTGOMERY,Property Damage Crash,06/26/2024 02:30:00 PM,No,County Route,Eastbound,Lane 1,2,North,35.23,FEET,Hillcrest,CEDAR LA,,,,
Front to Rear,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,Not Applicable,Driveway Access or Related,,Straight,No Defects,Not Divided,39.16971667,-77.20617333,"(39.16971667°, -77.20617333°)",,
Angle,Clear,Dry,Daylight,"No Controls, Stop Sign","Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,Not Divided,39.11078986,-76.93358537,"(39.11078986°, -76.93358537°)",,
MCP2760005K,240030226,MONTGOMERY,Property Damage Crash,06/26/2024 02:30:00 PM,No,County Route,Westbound,"Lane 1, Lane 2",2,East,5.78,FEET,Level,MONTGOMERY VILLAGE AVE (SB/L),,,,
DD5612005G,24003109,ROCKVILLE,Property Damage Crash,07/01/2024 08:30:00 AM,No,,,,0,,,FEET,,,,Driveway IFO SALLYPORT DOOR AT THE REAR OF 191 E JEFFERSON ST (DISTRICT COURTHOUSE),,
"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Not Applicable,Non-Junction,,Straight,No Defects,"Divided, Raised Median (curbed)",39.0556159,-77.14916598,"(39.0556159°, -77.14916598°)",,
Other,Clear,Dry,Dawn,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Unknown, Unknown",,Motor Vehicle In Transport,,,,Straight,No Defects,Not Divided,39.3979246,-77.42830505,"(39.3979246°, -77.42830505°)",,
Single Vehicle,Clear,,Daylight,,"Unknown, Unknown","Not Suspect of Alcohol Use, Not Suspect of Drug Use",Other Non-Motorist,Pedestrian,,,,,,39.02066497,-77.01440095,"(39.02066497°, -77.01440095°)",,
MCP3094004K,240030248,MONTGOMERY,Property Damage Crash,06/26/2024 04:20:00 PM,No,County Route,Eastbound,Median Area,5,North,38.68,FEET,Level,REDLAND RD,,,,
"Sideswipe, Same Direction",Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Parked Vehicle,,Non-Junction,,Straight,No Defects,Not Divided,39.02962669,-77.07001381,"(39.02962669°, -77.07001381°)",,
MCP28750090,240030446,MONTGOMERY,Property Damage Crash,06/27/2024 05:56:00 PM,No,Maryland (State) Route,Southbound,Lane 1,5,South,0,FEET,Level,FREDERICK RD (SB/L),SHAKESPEARE BLVD (WB/L),,,
"Sideswipe, Same Direction",Clear,Dry,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Parked Vehicle,,Non-Junction,,Curve Left,No Defects,"Divided, Raised Median (curbed)",39.11424133,-77.16780469,"(39.11424133°, -77.16780469°)",,
Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (curbed)",39.05202223,-77.11844977,"(39.05202223°, -77.11844977°)",,
Front to Rear,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Perpendicular,Straight,No Defects,"Divided, Raised Median (curbed)",39.19836676,-77.2450045,"(39.19836676°, -77.2450045°)",,
Angle,Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,,,Straight,No Defects,"Divided, Raised Median (curbed)",39.039165,-77.05799667,"(39.039165°, -77.05799667°)",,
Other,Clear,Dry,Daylight,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Parked Vehicle,Not Applicable,Driveway Access or Related,,Straight,No Defects,Not Divided,38.9996505,-77.11379427,"(38.9996505°, -77.11379427°)",,
Angle,Cloudy,Dry,Daylight,"No Controls, Stop Sign","Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Intersection or Related,Angled/Skewed,Straight,No Defects,Not Divided,39.2548265,-77.14369807,"(39.2548265°, -77.14369807°)",,
Single Vehicle,Rain,Wet,Dark - Lighted,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Curb,Ditch,Non-Junction,,Straight,No Defects,"Divided, Raised Median (curbed)",39.14296912,-77.19988419,"(39.14296912°, -77.19988419°)",,
MCP22700034,240030855,MONTGOMERY,Property Damage Crash,06/30/2024 08:35:00 AM,No,Interstate (State),Eastbound,Lane 1,1,South,25.85,FEET,Downhill,CABIN JOHN PKWY (SB/L),,,,
"Sideswipe, Opposite Direction",Clear,Dry,Daylight,Traffic Control Signal,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,Motor Vehicle In Transport,Intersection or Related,Angled/Skewed,"Curve Left, Straight",No Defects,"Divided, Raised Median (curbed)",39.11085918,-76.93287357,"(39.11085918°, -76.93287357°)",,
Front to Front,Clear,Dry,Dawn,No Controls,"Not Suspect of Alcohol Use, Not Suspect of Drug Use, Not Suspect of Alcohol Use, Not Suspect of Drug Use",,Motor Vehicle In Transport,,Non-Junction,,Straight,No Defects,Not Divided,39.28291235,-77.3150478,"(39.28291235°, -77.3150478°)",,
