INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,LOC_OF_OCCUR_DESC,PRECINCT,JURISDICTION_CODE,LOC_CLASSFCTN_DESC,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
273577777,08/28/2023,16:40:00,MANHATTAN,INSIDE,25,0,COMMERCIAL,GROCERY/BODEGA,False,(null),(null),(null),18-24,M,BLACK,1001692,231503,40.802083,-73.936999,POINT (-73.936999 40.802083)
279386687,12/22/2023,01:09:00,BROOKLYN,INSIDE,71,0,DWELLING,MULTI DWELL - APT BUILD,False,(null),(null),(null),25-44,M,BLACK,1002859,181349,40.664419,-73.932923,POINT (-73.932923 40.664419)
275206398,09/29/2023,02:19:00,BROOKLYN,INSIDE,83,0,STREET,GROCERY/BODEGA,False,(null),(null),(null),25-44,M,BLACK,1001557,193690,40.698295,-73.937582,POINT (-73.937582 40.698295)
270814572,07/04/2023,01:10:00,BROOKLYN,INSIDE,77,0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK,1005328,183149,40.669355,-73.924018,POINT (-73.924018 40.669355)
269541207,06/08/2023,03:05:00,BRONX,OUTSIDE,41,0,STREET,(null),False,25-44,M,WHITE HISPANIC,25-44,M,BLACK,1015533,238047,40.820006,-73.886973,POINT (-73.886973 40.820006)
275215976,09/29/2023,18:30:00,MANHATTAN,OUTSIDE,33,0,STREET,(null),True,25-44,M,BLACK,25-44,M,BLACK,1001768,244296,40.837193969818486,-73.93669188653992,POINT (-73.93669188653992 40.837193969818486)
271104892,07/10/2023,18:48:00,STATEN ISLAND,INSIDE,123,0,OTHER,HOSPITAL,False,(null),(null),(null),25-44,M,BLACK,929510,127539,40.516572,-74.196874,POINT (-74.196874 40.516572)
271021661,07/08/2023,11:27:00,QUEENS,OUTSIDE,102,0,STREET,BEAUTY/NAIL SALON,False,25-44,M,WHITE HISPANIC,65+,M,ASIAN / PACIFIC ISLANDER,1028856,192785,40.695717,-73.839138,POINT (-73.839138 40.695717)
278915845,12/12/2023,05:00:00,QUEENS,OUTSIDE,113,0,STREET,(null),False,25-44,M,BLACK,25-44,M,BLACK,1051164,196680,40.70626487537533,-73.75865488504459,POINT (-73.75865488504459 40.70626487537533)
276785707,10/31/2023,17:27:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),False,25-44,M,BLACK,25-44,M,WHITE HISPANIC,1015660,183332,40.669827,-73.886771,POINT (-73.886771 40.669827)
276032583,10/16/2023,23:18:00,BROOKLYN,OUTSIDE,81,0,STREET,(null),False,25-44,M,BLACK,25-44,M,BLACK,1004413,191572,40.692475,-73.927289,POINT (-73.927289 40.692475)
270719378,07/02/2023,21:40:00,BRONX,OUTSIDE,46,0,STREET,(null),False,(null),(null),(null),18-24,M,BLACK HISPANIC,1009601,247515,40.846012,-73.908369,POINT (-73.908369 40.846012)
267333554,04/26/2023,21:02:00,MANHATTAN,INSIDE,26,2,HOUSING,MULTI DWELL - PUBLIC HOUS,False,18-24,M,BLACK,25-44,M,BLACK,996071,236561,40.815975,-73.957291,POINT (-73.957291 40.815975)
277829335,11/20/2023,20:16:00,BROOKLYN,OUTSIDE,66,0,STREET,(null),False,(null),(null),(null),<18,M,WHITE HISPANIC,985841,174098,40.64453524491852,-73.99426690452187,POINT (-73.99426690452187 40.64453524491852)
273520492,08/26/2023,22:43:00,BRONX,OUTSIDE,43,2,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),18-24,M,BLACK HISPANIC,1021490,236441,40.815576,-73.865461,POINT (-73.865461 40.815576)
268970252,05/28/2023,14:30:00,STATEN ISLAND,OUTSIDE,122,0,STREET,(null),False,<18,M,BLACK HISPANIC,18-24,F,BLACK,961787,156866,40.597211,-74.080884,POINT (-74.080884 40.597211)
267148531,04/21/2023,23:04:00,BROOKLYN,OUTSIDE,88,2,HOUSING,MULTI DWELL - PUBLIC HOUS,True,18-24,M,WHITE HISPANIC,18-24,M,BLACK,990324,192487,40.695007,-73.978093,POINT (-73.978093 40.695007)
268302281,05/15/2023,17:33:00,BRONX,OUTSIDE,43,0,STREET,MULTI DWELL - APT BUILD,True,18-24,M,WHITE HISPANIC,18-24,M,BLACK,1020517,242653,40.832627,-73.868942,POINT (-73.868942 40.832627)
275608047,10/08/2023,06:10:00,BRONX,INSIDE,43,0,DWELLING,MULTI DWELL - APT BUILD,False,(null),(null),(null),25-44,M,BLACK,1025317,236734,40.816360354350195,-73.8516348089287,POINT (-73.8516348089287 40.816360354350195)
269652511,06/09/2023,19:45:00,BRONX,OUTSIDE,40,0,STREET,(null),False,(null),(null),(null),18-24,M,BLACK,1005293,237196,40.8177,-73.923972,POINT (-73.923972 40.8177)
275208186,09/29/2023,18:43:00,QUEENS,OUTSIDE,101,0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK HISPANIC,1044257,154427,40.59033945195636,-73.78394280096676,POINT (-73.78394280096676 40.59033945195636)
272968931,08/16/2023,02:46:00,BRONX,OUTSIDE,41,0,STREET,(null),False,25-44,F,BLACK,45-64,M,BLACK,1014639,240066,40.825549,-73.890195,POINT (-73.890195 40.825549)
277770910,11/19/2023,11:30:00,BRONX,OUTSIDE,43,2,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),45-64,M,BLACK,1018843,243555,40.83511,-73.874987,POINT (-73.874987 40.83511)
276687920,10/29/2023,21:38:00,MANHATTAN,OUTSIDE,13,0,STREET,(null),False,18-24,M,BLACK,25-44,M,BLACK,986109,210621,40.744784,-73.99329,POINT (-73.99329 40.744784)
272817658,08/12/2023,23:48:00,MANHATTAN,OUTSIDE,32,2,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),25-44,M,BLACK,998220,235265,40.812415,-73.949529,POINT (-73.949529 40.812415)
274317597,09/12/2023,21:05:00,QUEENS,OUTSIDE,114,0,STREET,(null),False,(null),(null),(null),25-44,M,WHITE HISPANIC,1010578,221195,40.773768,-73.904943,POINT (-73.904943 40.773768)
275979884,10/15/2023,22:30:00,BRONX,OUTSIDE,44,0,STREET,(null),False,25-44,M,BLACK,25-44,M,BLACK HISPANIC,1005064,243643,40.835397,-73.924781,POINT (-73.924781 40.835397)
275053556,09/27/2023,19:48:00,BROOKLYN,OUTSIDE,79,2,HOUSING,MULTI DWELL - PUBLIC HOUS,True,25-44,M,BLACK,25-44,M,WHITE HISPANIC,998151,193827,40.698679,-73.949866,POINT (-73.949866 40.698679)
273837716,09/02/2023,22:57:00,BRONX,OUTSIDE,46,0,STREET,(null),True,25-44,M,BLACK,25-44,M,BLACK,1007442,248343,40.848288718247915,-73.91617269343789,POINT (-73.91617269343789 40.848288718247915)
270679295,07/01/2023,15:21:00,BRONX,OUTSIDE,40,0,STREET,(null),False,25-44,M,BLACK,45-64,F,WHITE HISPANIC,1010949,237365,40.81815,-73.903538,POINT (-73.903538 40.81815)
279453573,12/22/2023,15:15:00,QUEENS,OUTSIDE,113,0,STREET,(null),True,(null),(null),(null),25-44,M,BLACK,1040313,186507,40.678418,-73.797875,POINT (-73.797875 40.678418)
267267403,04/25/2023,18:15:00,BRONX,OUTSIDE,40,0,STREET,(null),False,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,1008067,236070,40.814603,-73.913955,POINT (-73.913955 40.814603)
272420121,08/04/2023,23:06:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),False,25-44,M,BLACK,45-64,M,BLACK,1007944,184002,40.671689,-73.914583,POINT (-73.914583 40.671689)
272238341,08/01/2023,09:12:00,BROOKLYN,OUTSIDE,71,0,STREET,(null),False,25-44,M,BLACK,45-64,M,BLACK,1001004,179354,40.658947,-73.939614,POINT (-73.939614 40.658947)
271029295,07/09/2023,00:29:00,BRONX,OUTSIDE,47,0,STREET,(null),False,(null),(null),(null),25-44,F,BLACK,1020184,259289,40.87828948434474,-73.8700581979115,POINT (-73.8700581979115 40.87828948434474)
268227792,05/13/2023,00:39:00,BRONX,OUTSIDE,46,0,STREET,(null),False,25-44,M,BLACK,25-44,F,BLACK,1006216,247828,40.84687833,-73.92060574,POINT (-73.92060574 40.84687833)
270760379,07/03/2023,21:25:00,BROOKLYN,OUTSIDE,75,0,STREET,(null),False,18-24,M,BLACK,25-44,M,BLACK,1008769,177614,40.654153,-73.911632,POINT (-73.911632 40.654153)
267267402,04/25/2023,12:00:00,BROOKLYN,OUTSIDE,77,0,STREET,PVT HOUSE,False,25-44,M,BLACK,45-64,M,BLACK,1003857,184542,40.673181,-73.929313,POINT (-73.929313 40.673181)
270719378,07/02/2023,21:40:00,BRONX,OUTSIDE,46,0,STREET,(null),False,(null),(null),(null),25-44,F,BLACK HISPANIC,1009601,247515,40.846012,-73.908369,POINT (-73.908369 40.846012)
270373348,06/25/2023,01:14:00,BRONX,OUTSIDE,42,0,STREET,(null),False,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1014409,244146,40.836749,-73.891009,POINT (-73.891009 40.836749)
272166516,07/31/2023,04:00:00,BRONX,OUTSIDE,43,0,STREET,(null),False,25-44,F,BLACK HISPANIC,18-24,F,BLACK,1025046,233605,40.807775,-73.85263,POINT (-73.85263 40.807775)
270719379,07/01/2023,18:42:00,MANHATTAN,INSIDE,30,0,PLAYGROUND,(null),True,25-44,M,WHITE HISPANIC,<18,M,BLACK HISPANIC,997626,240713,40.827369,-73.951665,POINT (-73.951665 40.827369)
272238343,08/01/2023,12:42:00,STATEN ISLAND,INSIDE,122,0,OTHER,HOSPITAL,False,(null),(null),(null),45-64,M,WHITE,960514,151754,40.583176,-74.08545,POINT (-74.08545 40.583176)
277978378,11/23/2023,22:55:00,BROOKLYN,INSIDE,81,2,HOUSING,MULTI DWELL - PUBLIC HOUS,True,45-64,M,BLACK,65+,F,BLACK,1005283,187666,40.681753,-73.924165,POINT (-73.924165 40.681753)
275215976,09/29/2023,18:30:00,MANHATTAN,OUTSIDE,33,0,STREET,(null),True,25-44,M,BLACK,45-64,F,BLACK,1001768,244296,40.837193969818486,-73.93669188653992,POINT (-73.93669188653992 40.837193969818486)
278915846,12/12/2023,21:20:00,BROOKLYN,OUTSIDE,73,0,STREET,(null),False,(null),(null),(null),18-24,M,BLACK,1011060,178314,40.656069,-73.903373,POINT (-73.903373 40.656069)
270085087,06/19/2023,22:05:00,MANHATTAN,OUTSIDE,33,0,OTHER,(null),False,(null),(null),(null),18-24,F,BLACK,1001891,245600,,,
271171073,07/11/2023,21:40:00,BROOKLYN,OUTSIDE,72,0,STREET,(null),True,(null),(null),(null),25-44,M,BLACK HISPANIC,981558,172010,40.638805,-74.009699,POINT (-74.009699 40.638805)
269679658,06/10/2023,04:44:00,BRONX,OUTSIDE,46,0,STREET,(null),True,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1005702,247211,40.845188,-73.922462,POINT (-73.922462 40.845188)
272944749,08/15/2023,13:19:00,BRONX,OUTSIDE,44,0,STREET,(null),False,<18,M,BLACK,65+,M,WHITE HISPANIC,1007267,240281,40.826163,-73.91683,POINT (-73.91683 40.826163)
278488356,12/04/2023,16:15:00,BRONX,OUTSIDE,48,0,STREET,(null),False,(null),(null),(null),18-24,M,WHITE HISPANIC,1014898,249845,40.852391,-73.889215,POINT (-73.889215 40.852391)
270655016,06/30/2023,04:55:00,MANHATTAN,OUTSIDE,7,0,STREET,(null),False,(null),(null),(null),18-24,M,BLACK,988468,198397,40.7112296399045,-73.98478542255539,POINT (-73.98478542255539 40.7112296399045)
274464113,09/14/2023,19:41:00,BRONX,OUTSIDE,44,0,STREET,(null),False,(null),(null),(null),25-44,M,BLACK,1008051,247302,40.845429860487535,-73.91397516413855,POINT (-73.91397516413855 40.845429860487535)
275218028,09/30/2023,17:12:00,BROOKLYN,OUTSIDE,79,2,HOUSING,(null),False,18-24,M,BLACK,25-44,M,BLACK,1000301,192923,40.696192,-73.942116,POINT (-73.942116 40.696192)
270335892,06/23/2023,16:13:00,BROOKLYN,OUTSIDE,68,0,STREET,(null),False,18-24,M,BLACK,18-24,F,BLACK,975695,163739,40.6161,-74.030812,POINT (-74.030812 40.6161)
277770909,11/19/2023,14:00:00,BRONX,INSIDE,44,1,TRANSIT,(null),False,(null),(null),(null),25-44,M,BLACK,1003858,241701,40.830067051822596,-73.92914644642369,POINT (-73.92914644642369 40.830067051822596)
271076528,07/10/2023,00:06:00,MANHATTAN,OUTSIDE,5,0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,<18,M,BLACK,18-24,F,WHITE HISPANIC,984984,197590,40.709018,-73.997352,POINT (-73.997352 40.709018)
279427924,12/23/2023,02:10:00,BROOKLYN,OUTSIDE,77,0,STREET,(null),False,25-44,M,BLACK,25-44,M,BLACK,998152,185742,40.676485,-73.94988,POINT (-73.94988 40.676485)
267201244,04/24/2023,16:55:00,QUEENS,OUTSIDE,108,0,STREET,(null),False,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,1005382,209504,40.74169141,-73.92374075,POINT (-73.92374075 40.74169141)
277940861,11/22/2023,10:50:00,QUEENS,INSIDE,114,0,DWELLING,(null),False,65+,M,WHITE HISPANIC,45-64,M,WHITE HISPANIC,1006000,214684,40.755909,-73.921492,POINT (-73.921492 40.755909)
278852378,12/11/2023,21:18:00,BROOKLYN,OUTSIDE,76,0,HOUSING,MULTI DWELL - PUBLIC HOUS,False,(null),(null),(null),25-44,M,BLACK,987560,187812,40.682178,-73.988064,POINT (-73.988064 40.682178)
275142941,09/29/2023,00:30:00,QUEENS,OUTSIDE,102,0,STREET,PVT HOUSE,False,25-44,M,BLACK,25-44,M,BLACK,1033435,193797,40.69847,-73.822618,POINT (-73.822618 40.69847)
270655016,06/30/2023,04:55:00,MANHATTAN,OUTSIDE,7,0,STREET,(null),False,(null),(null),(null),18-24,M,WHITE HISPANIC,988468,198397,40.7112296399045,-73.98478542255539,POINT (-73.98478542255539 40.7112296399045)
270085087,06/19/2023,22:05:00,MANHATTAN,OUTSIDE,33,0,OTHER,(null),False,(null),(null),(null),25-44,F,BLACK,1001891,245600,,,
273520493,08/27/2023,01:20:00,BRONX,OUTSIDE,40,2,HOUSING,MULTI DWELL - PUBLIC HOUS,False,<18,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,1005674,234940,40.811507,-73.922606,POINT (-73.922606 40.811507)
