VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2,01/01/2021 12:05:10 AM,01/01/2021 12:17:02 AM,1,3.06,1,N,163,236,1,11.5,0.5,0.5,1,0,0.3,16.3,2.5
2,01/01/2021 01:35:11 AM,01/01/2021 02:01:09 AM,3,6.44,1,N,161,25,1,23.5,0.5,0.5,8.19,0,0.3,35.49,2.5
2,01/01/2021 12:53:17 AM,01/01/2021 01:01:17 AM,1,1.07,1,N,79,144,2,7,0.5,0.5,0,0,0.3,10.8,2.5
2,01/01/2021 12:13:29 AM,01/01/2021 12:26:46 AM,1,7.05,1,N,132,130,2,21,0.5,0.5,0,0,0.3,22.3,0
2,01/01/2021 12:23:01 AM,01/01/2021 12:40:05 AM,1,4.09,1,N,261,48,1,15.5,0.5,0.5,3.86,0,0.3,23.16,2.5
1,01/01/2021 01:15:27 AM,01/01/2021 01:18:59 AM,0,0.9,1,N,229,237,1,5,3,0.5,1.75,0,0.3,10.55,2.5
2,01/01/2021 01:37:55 AM,01/01/2021 02:13:40 AM,1,9.47,1,N,125,173,1,32,0.5,0.5,0,0,0.3,35.8,2.5
2,01/01/2021 01:12:51 AM,01/01/2021 01:16:17 AM,1,0.71,1,N,238,24,2,5,0.5,0.5,0,0,0.3,8.8,2.5
1,01/01/2021 01:40:20 AM,01/01/2021 01:54:50 AM,1,0,1,N,248,50,1,30.2,0,0.5,0,6.12,0.3,37.12,0
2,01/01/2021 01:20:40 AM,01/01/2021 01:26:43 AM,4,1.7,1,N,113,231,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
2,12/31/2020 09:43:40 PM,12/31/2020 09:52:26 PM,1,2.15,1,N,263,74,2,9,0.5,0.5,0,0,0.3,12.8,2.5
2,01/01/2021 12:51:29 AM,01/01/2021 12:55:32 AM,1,1.06,1,N,151,41,2,5.5,0.5,0.5,0,0,0.3,6.8,0
2,01/01/2021 12:31:40 AM,01/01/2021 12:50:32 AM,1,3.6,1,N,48,79,1,15,0.5,0.5,4.7,0,0.3,23.5,2.5
2,01/01/2021 02:36:48 AM,01/01/2021 02:39:12 AM,1,0.68,1,N,141,262,1,4,0.5,0.5,1.56,0,0.3,9.36,2.5
2,01/01/2021 01:06:57 AM,01/01/2021 01:10:28 AM,1,0.92,1,N,239,142,1,5,0.5,0.5,1.58,0,0.3,10.38,2.5
2,01/01/2021 12:53:13 AM,01/01/2021 12:59:04 AM,1,1.63,1,N,239,140,1,7,0.5,0.5,2.16,0,0.3,12.96,2.5
