Department,Department_Name,Division,Gender,Base_Salary,Overtime_Pay,Longevity_Pay,Grade
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$49,558.5358","$2,715.92",$0,12
ABS,Alcohol Beverage Services,ABS 85 Walnut Hill,F,"$21,862",$77.27,$0,12
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,"$110,572.155",$0,$0,N26
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$49,558.5358","$3,150.91",$0,12
ABS,Alcohol Beverage Services,ABS 85 Potomac,M,"$22,551.3425","$2,770.32",$0,12
ABS,Alcohol Beverage Services,ABS 85 Westwood,M,"$72,463",$475.6,$0,14
BOE,Board of Elections,BOE 24 Director's Office,F,"$88,514.8779","$1,587.23",$0,N21
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,"$22,627.17",$56.95,$0,12
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,"$117,424",$0,$0,N25
ABS,Alcohol Beverage Services,ABS 85 Potomac,M,"$21,862",$806.59,$0,12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$93,986","$21,857.36",$0,N20
ABS,Alcohol Beverage Services,ABS 85 Seneca Meadows,M,"$24,047.6555",$295.69,$0,12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$46,681.279","$1,256.07",$0,12
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,"$22,627.17",$23.52,$0,12
ABS,Alcohol Beverage Services,ABS 85 Walnut Hill,M,"$62,820.332","$1,219.22",$0,14
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,"$94,334.247",$0,$0,N25
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$86,103","$23,917.44","$3,665.64",N18
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",M,"$85,714.4272",$0,$0,22
ABS,Alcohol Beverage Services,"ABS 85 Licensure, Regulation and Education",F,"$98,349",$0,$0,22
ABS,Alcohol Beverage Services,ABS 85 Westwood,M,"$27,969.1632",$37.81,$0,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,"$66,083.4184","$3,066.55",$0,14
ABS,Alcohol Beverage Services,ABS 85 Retail Administration,M,"$66,572",$142.24,"$5,258.2",12
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$69,101.6094","$5,227.31",$0,15
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,"$68,473.5124",$0,$0,N18
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,"$57,276.881",$156.41,$0,14
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,"$98,228",$518.8,$998.28,21
ABS,Alcohol Beverage Services,ABS 85 Retail Administration,F,"$117,424.005",$0,"$3,074.09",N25
ABS,Alcohol Beverage Services,ABS 85 Walnut Hill,M,"$41,943.6288",$267.73,$0,12
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,F,"$21,862",$77.33,$0,12
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,"$98,228",$244.39,$0,N21
ABS,Alcohol Beverage Services,ABS 85 Clarksburg Village,M,"$96,329.8444","$1,034.41",$0,N21
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,"$53,214.6496","$1,094.83",$0,14
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$65,748.8722","$2,661.07",$0,12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$56,967.5537","$12,764.91",$0,12
ABS,Alcohol Beverage Services,ABS 85 Walnut Hill,F,"$86,103",$0,$0,N18
ABS,Alcohol Beverage Services,ABS 85 Beer Loading,M,"$66,572","$3,148.64",$582.55,12
BOE,Board of Elections,BOE 24 Absentee Voting,F,"$98,228",$0,"$7,017.18",21
BOE,Board of Elections,BOE 24 Election Judge Recruitment,F,"$86,103",$0,$0,N18
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,"$128,531",$0,$0,N27
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,"$68,130",$88.62,$0,14
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$66,572","$11,928.75","$5,258.13",12
ABS,Alcohol Beverage Services,ABS 85 Wheaton,M,"$94,713.3",$656.47,$0,N21
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,"$62,607.646",$172.78,$0,14
ABS,Alcohol Beverage Services,ABS 85 Darnestown,F,"$45,974.7155",$180.84,$0,12
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,"$21,862",$69.72,$0,12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$56,493.0104",$386.9,$0,12
ABS,Alcohol Beverage Services,ABS 85 Goshen Crossing,M,"$53,257.6",$113.26,"$4,332.4",12
ABS,Alcohol Beverage Services,ABS 85 Administration,M,"$145,613.36",$0,$0,M3
ABS,Alcohol Beverage Services,ABS 85 Cloverly,M,"$21,862",$125.44,$0,12
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,F,"$82,405.3864",$549.2,$0,18
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,M,"$66,572","$7,000.21","$3,137.75",12
ABS,Alcohol Beverage Services,ABS 85 Darnestown,M,"$45,974.7317",$102.8,$0,12
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,"$21,862",$268.41,$0,12
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,"$23,340.6395",$178.75,$0,12
ABS,Alcohol Beverage Services,ABS 85 Seneca Meadows,M,"$31,656.1616",$0,$0,12
ABS,Alcohol Beverage Services,ABS 85 Westwood,F,"$63,215.24","$1,586.18",$0,14
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$56,884.1676",$0,$0,15
ABS,Alcohol Beverage Services,ABS 85 Gaithersburg Square,F,"$21,862",$0,$0,12
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,"$46,144.8795","$9,562.78",$0,12
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,"$80,239.2046",$0,$0,N21
ABS,Alcohol Beverage Services,ABS 85 Kingsview,F,"$45,974.7115",$528.85,$0,12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$66,572","$3,032.57","$1,081.87",12
ABS,Alcohol Beverage Services,ABS 85 Walnut Hill,M,"$24,779.5625",$999.65,$0,12
ABS,Alcohol Beverage Services,ABS 85 Administrative Services,M,"$152,632.07",$0,$0,M3
ABS,Alcohol Beverage Services,ABS 85 Seneca Meadows,F,"$64,060.9766",$886.16,$0,14
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$61,240","$3,866.6","$2,881.5",10
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,F,"$98,228",$0,$0,N21
ABS,Alcohol Beverage Services,ABS 85 Leisure World,F,"$72,463.002","$4,680.01",$0,14
ABS,Alcohol Beverage Services,ABS 85 Retail Administration,M,"$117,424",$270.83,"$5,013.3",N25
ABS,Alcohol Beverage Services,ABS 85 Kensington,M,"$23,340.6395",$58.08,$0,12
ABS,Alcohol Beverage Services,ABS 85 Beer Delivery Operations,M,"$55,968.2496","$2,535.85",$0,15
ABS,Alcohol Beverage Services,ABS 85 Flower Avenue,M,"$46,144.8787","$3,653.65",$0,12
BOE,Board of Elections,BOE 24 Director's Office,M,"$75,008",$0,$0,N21
ABS,Alcohol Beverage Services,ABS 85 Aspen Hill,M,"$72,463","$2,123.92","$1,177.6",14
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$66,572",$778.28,"$1,081.87",12
ABS,Alcohol Beverage Services,ABS 85 Liquor and WIne Loading,M,"$43,724",$32.12,$0,13
BOE,Board of Elections,BOE 24 Absentee Voting,F,"$78,947",$0,"$1,278.63",16
ABS,Alcohol Beverage Services,ABS 85 Beer Warehouse Operations,F,"$56,922.265","$6,156.95",$0,13
ABS,Alcohol Beverage Services,ABS 85 Seneca Meadows,F,"$41,943.6254",$260.08,$0,12
ABS,Alcohol Beverage Services,ABS 85 King Farm,M,"$53,257.6",$469.12,"$4,607.03",12
ABS,Alcohol Beverage Services,ABS 85 Westwood,F,"$77,645.6571",$0,$0,N18
