County,License Number,Operation Type,Establishment Type,Entity Name,DBA Name,Street Number,Street Name,Address Line 2,Unnamed_Column_10
QUEENS,758869,Store,A,CHAW SU KYAW INC,CHAW SU KYAW,86-55,BROADWAY STORE#B11,,
QUEENS,758666,Store,A,TRADER JOES EAST INC,TRADER JOES #565,22-43,JACKSON AVE,,
QUEENS,758658,Store,JAC,LA FAMILIA GROCERY CORP,LA FAMILIA GROCERY,115-05,SUTPHIN BLVD.,,
NASSAU,758583,Store,JAC,INVERSIONES ALMONTE DELI CORP,INVERSIONES ALMONTE,85,N MAIN ST,,
ULSTER,758512,Store,JAC,LUCAS MART INC,LUCAS MART,352,LUCAS AVE,,
QUEENS,758169,Store,A,JOY BABY & GROCERY INC,JOY BABY & GROCERY,47-18,48TH AVENUE,,
NEW YORK,758164,Store,JAC,79 GREENWICH INCORPORATED,79 GREENWICH (NY GRILL & DELI),79,GREENWICH AVE,,
SCHOHARIE,758739,Store,JAC,LOVE SHINE TEA LLC,LOVE SHINE TEA,315,MAIN ST,,
QUEENS,759003,Store,JAC,PREMIUM OF JACKSON HEIGHTS LLC,FARINE BAKING COMPANY,256-13,HILLSIDE AVE,,
ERIE,758494,Store,JAC,I-COR HOLDINGS INC,HENRYS CANDY & GIFTS,13237,BROADWAY,,
CLINTON,759401,Store,JAC,PLATTSBURGH EXPRESS LANE LLC,EXPRESS LANE,20,BROAD ST,,
ROCKLAND,758926,Store,JAC,POP A LICIOUS LLC,BRIMARIE GOURMET POPCORN,543,WESTERN HWY STE 2,,
ST. LAWRENCE,758914,Store,JAC,CRR/TAR ENTERPRISE LLC,HELENA GENERAL STORE II,28,MAIN STREET,,
RICHMOND,760100,Store,A,NORTH SHORE CONVENIENCE CORP,NORTH SHORE CONVENIENCE,4852,ARTHUR KILL RD,,
BRONX,758165,Store,JAC,MI FAVORITA FRUIT MEAT MARKET CORP,MI FAVORITA FRUIT MEAT MARKET,745-747,LYDIG AVE,,
JEFFERSON,759988,Store,A,DOLGEN NEW YORK LLC,DOLLAR GENERAL #30022,29,N BROAD ST,,
ALLEGANY,759707,Store,JAC,DOVER KRISTIN & JORDAN,RYOKOSHA BAKING COMPANY,29,W MAIN ST,,
NEW YORK,759469,Store,A,PETROSSIAN BOUTIQUE INC,PETROSSIAN BOUTIQUE,419,WEST 13TH STREET,,
NEW YORK,759075,Store,A,SOMOS BRAZIL CORP,BRAZILIAN MARKET NYC,304,EAST 77TH STREET UNIT 02,,
ERIE,758505,Store,JAC,SALEH ABDULLA,HIGH STREET DELI,195,HIGH ST,,
QUEENS,758322,Store,JAC,SRK RETAIL INC,SRK RETAIL,187-20,HILLSIDE AVE,,
WESTCHESTER,758298,Store,A,O&A SUNRISE GROUP INC,O&A SUNRISE GROUP,84,S GREELEY AVENUE,,
SUFFOLK,758173,Store,A,TIENDITA HISPANA CORP,TIENDITA HISPANA,120,MAIN STREET,,
KINGS,758148,Store,JAC,ALHELAL CORP,ALHELAL,531,HENRY STREET,,
QUEENS,758685,Store,JAC,24 7 SANDWICH SPOT CORP,24 7 SANDWICH SPOT,8718,ROCKAWAY BEACH BLVD,,
SUFFOLK,759472,Store,JAC,BERNTSEN JOHN,PIZZA NETWORK FROZEN,4580-14,SUNRISE HWY,,
QUEENS,758354,Store,JAC,SK SWEETS DISTRIBUTOR INC,SK SWEETS DISTRIBUTOR,131-06,ROCKAWAY BLVD,,
NEW YORK,759019,Store,JAC,AMAZE MEAT MARKET INC,AMAZE MEAT MARKET,62,ELIZABETH ST.,,
RENSSELAER,758278,Store,JAC,K AND K MAIN INC,K AND K MAIN,63,MAIN AVE,,
BRONX,759484,Store,JAC,ROCHELL DELI GROCERY CORP,ROCHELL DELI GROCERY,984,JENNINGS STREET,,
PUTNAM,759057,Store,JAC,ANS SEAFOOF MARKET INC,ANS SEAFOOD MARKET,545,ROUTE 6,,
NEW YORK,758160,Store,JAC,1642 LEX LLC,7-ELEVEN STORE #37104A,1642,LEXINGTON AVE.,,
KINGS,758687,Store,JAC,EL CONUQUITO 3432 CORP,EL CONUQUITO 3432,3432,FULTON ST,,
ALBANY,759067,Store,A,MR POSTMANS BUNDLE LLC,MR POSTMANS BUNDLE,418,BROADWAY STE 5038,,
KINGS,758743,Store,A,RJYY LLC,PREPT BY RAYT,508,KINGS HWY,,
NASSAU,758282,Store,JAC,DAKAR MART INC,DAKAR MART,1,POWERHOUSE ROAD,,
KINGS,760076,Store,A,TIAN YUAN VEG INC,TIAN YUAN VEG,673,56TH STREET,,
SUFFOLK,758317,Store,JAC,MI CAMPO DELI NY CORP,MI CAMPO DELI NY,313A,MERRITT AVE,,
QUEENS,758868,Store,A,GORILLAS TECHNOLOGIES US LLC,GORILLAS BROOKLYN EAST WILLIAMSBURG,41-20,13TH ST,,
KINGS,758347,Store,JAC,EVERGREEN FOOD MART CORP,EVERGREEN FOOD MART,661,EVERGREEN AVE,,
MONROE,759610,Store,JAC,A&Z MARKET CORP,A&Z MARKET,1547,CLIFFORD AVE,,
NEW YORK,759400,Store,JAC,KITCHEN VALLEY MARKETPLACE INC,KITCHEN VALLEY MARKETPLACE,863,9TH AVE,,
KINGS,758502,Store,JAC,NAS SUPER DELI INC,NAS SUPER DELI,1067,RUTLAND RD,,
STEUBEN,758185,Store,JAC,HAMILTON FOOD MART INC,HAMILTON FOOD MART,305,S HAMILTON ST,,
BRONX,759404,Store,JAC,CASTLE HILL SUPERMARKET INC,ADI'S SUPERMARKET,1375,CASTLE HILL AVE,,
RICHMOND,758906,Store,JAC,HY STAR 4278 CORP,HY STAR DELI,4278,ARTHUR KILL RD,,
SUFFOLK,760102,Store,A,VASUDEVNARAYAN CORPORATION,COPIAGUE CONVENIENCE STORE,2225,GREAT NECK ROAD,,
