Date,Positive COVID-19 tests - daily,Deaths - daily,Tests - daily,Positive COVID-19 tests - cumulative,Deaths - cumulative,Tests - cumulative
11/20/2021,704,5,"14,481","419,876","8,917","12,558,828"
11/29/2020,"1,151",30,"15,070","125,807","5,166","3,679,058"
06/18/2022,435,1,"5,095","820,612","11,033","16,580,445"
05/02/2022,"1,688",2,"18,298","769,212","10,899","16,053,312"
06/21/2021,46,0,"14,399","349,565","8,354","9,691,359"
12/05/2020,"1,478",38,"17,418","141,631","5,358","3,905,429"
03/29/2021,"1,621",8,"47,873","311,547","8,015","7,839,757"
04/29/2021,549,4,"32,086","340,903","8,208","8,853,180"
08/19/2020,146,3,"17,857","51,500","4,490","1,115,428"
12/06/2020,"1,291",28,"17,208","142,922","5,386","3,922,637"
01/09/2022,"4,436",43,"21,065","630,481","9,662","14,213,185"
03/08/2022,303,1,"16,715","733,231","10,786","15,395,228"
01/16/2022,"2,802",55,"17,702","672,010","9,928","14,446,575"
08/26/2021,765,8,"22,029","372,949","8,471","10,607,642"
04/27/2021,633,4,"39,006","339,723","8,198","8,784,604"
03/27/2021,951,6,"15,979","309,093","8,001","7,775,675"
05/10/2021,387,5,"32,088","344,863","8,271","9,100,751"
02/24/2022,429,4,"18,307","729,979","10,742","15,246,015"
09/08/2020,235,0,"27,913","54,089","4,506","1,425,369"
06/22/2021,42,0,"13,609","349,607","8,354","9,704,968"
04/05/2020,439,53,"1,156","10,498",325,"35,599"
03/30/2020,854,25,"2,138","5,867",101,"23,156"
07/02/2020,124,3,"14,154","47,247","4,399","550,256"
02/04/2021,"1,465",24,"46,794","261,249","7,435","6,104,343"
05/19/2020,630,46,"6,963","40,025","3,728","208,263"
06/14/2022,672,1,"10,983","818,350","11,027","16,547,174"
10/14/2020,505,5,"29,530","63,608","4,578","2,199,142"
05/16/2021,128,3,"7,574","346,259","8,299","9,212,064"
09/26/2021,311,7,"11,820","391,391","8,657","11,292,256"
07/06/2020,116,6,"15,244","47,491","4,412","577,869"
12/10/2020,"2,371",23,"41,469","153,161","5,513","4,097,799"
04/14/2022,930,2,"15,142","751,256","10,854","15,842,312"
07/04/2020,27,2,"2,161","47,329","4,405","558,259"
12/08/2020,"2,611",36,"44,119","148,361","5,452","4,010,661"
04/21/2022,957,2,"13,806","757,325","10,869","15,924,387"
09/27/2021,554,5,"33,937","391,945","8,662","11,326,193"
04/16/2022,660,1,"7,310","752,779","10,856","15,860,459"
04/14/2020,"1,202",96,"3,672","18,689","1,071","57,806"
08/06/2021,560,0,"17,889","359,885","8,388","10,231,487"
02/01/2021,361,27,"16,372","256,669","7,350","5,962,662"
12/14/2020,"2,782",36,"49,621","161,033","5,656","4,220,387"
12/03/2020,"2,781",32,"41,330","137,584","5,290","3,854,058"
01/12/2022,"7,417",35,"40,945","654,138","9,756","14,340,663"
06/16/2022,525,3,"9,221","819,599","11,031","16,566,662"
08/22/2021,269,5,"5,758","369,569","8,449","10,508,500"
02/07/2021,437,18,"11,648","263,727","7,491","6,169,425"
03/22/2020,154,5,694,"1,531",16,"8,563"
05/12/2021,297,5,"25,265","345,493","8,279","9,156,350"
10/18/2020,492,4,"10,858","65,480","4,602","2,273,817"
06/30/2020,154,3,"15,044","46,976","4,390","522,198"
06/21/2022,496,0,"7,053","822,202","11,034","16,601,561"
03/15/2021,"1,172",11,"41,938","294,246","7,922","7,348,346"
01/21/2022,"3,440",35,"27,674","693,284","10,129","14,606,699"
08/07/2021,420,5,"10,993","360,305","8,393","10,242,480"
03/17/2021,"1,223",7,"40,809","296,597","7,938","7,433,372"
07/17/2020,68,0,"12,993","48,493","4,445","713,035"
04/28/2021,631,6,"36,490","340,354","8,204","8,821,094"
06/12/2022,442,5,"4,718","816,876","11,024","16,523,949"
10/29/2020,980,10,"33,845","74,063","4,675","2,623,768"
03/27/2020,647,6,"2,222","4,212",46,"18,858"
07/19/2020,32,3,"6,110","48,574","4,449","723,117"
03/31/2020,882,24,"2,236","6,749",125,"25,392"
08/25/2021,825,2,"23,589","372,184","8,463","10,585,613"
08/04/2021,626,0,"20,923","358,695","8,385","10,192,656"
12/04/2021,"1,358",13,"18,597","439,537","9,015","12,931,653"
10/02/2021,324,7,"13,876","394,285","8,689","11,451,997"
10/13/2020,523,3,"29,439","63,103","4,573","2,169,612"
08/20/2020,129,0,"17,913","51,629","4,490","1,133,341"
10/25/2020,420,10,"10,508","69,979","4,640","2,464,722"
07/14/2020,108,2,"15,891","48,213","4,441","672,382"
08/12/2021,676,5,"20,246","363,603","8,409","10,340,035"
08/14/2021,510,10,"11,805","364,783","8,422","10,371,269"
02/27/2022,199,6,"6,800","730,621","10,757","15,269,066"
03/13/2022,182,2,"5,595","734,472","10,803","15,448,615"
05/30/2020,122,26,"3,747","43,002","4,082","275,414"
01/24/2022,"3,396",29,"33,422","700,625","10,224","14,672,662"
07/06/2021,74,1,"12,007","350,371","8,362","9,835,775"
05/04/2022,"1,686",5,"15,386","772,491","10,907","16,084,763"
10/12/2020,430,3,"28,204","62,580","4,570","2,140,173"
01/22/2021,"1,928",35,"38,597","243,692","7,091","5,632,084"
11/30/2021,"2,154",7,"39,176","431,958","8,986","12,809,286"
06/02/2020,287,14,"7,573","43,677","4,136","293,721"
05/20/2020,519,41,"7,127","40,544","3,769","215,390"
01/07/2022,"5,377",32,"23,940","620,871","9,580","14,169,372"
07/08/2020,107,2,"15,124","47,722","4,417","607,568"
01/18/2021,"1,984",46,"46,735","235,438","6,939","5,444,570"
04/01/2020,925,24,"2,489","7,674",149,"27,881"
03/12/2021,"1,030",7,"30,428","291,828","7,896","7,278,951"
05/01/2021,321,9,"10,552","341,742","8,223","8,889,821"
07/03/2021,47,2,"5,838","350,181","8,361","9,812,989"
08/22/2020,86,0,"6,783","51,821","4,491","1,154,687"
01/23/2021,"1,264",33,"21,484","244,956","7,124","5,653,568"
06/26/2021,38,2,"6,099","349,792","8,358","9,746,659"
11/28/2021,938,7,"16,388","427,498","8,974","12,728,564"
12/17/2020,451,36,"11,404","166,150","5,758","4,319,181"
09/04/2020,113,2,"16,149","53,605","4,505","1,375,547"
03/07/2021,597,10,"14,651","286,722","7,856","7,093,375"
06/25/2021,51,1,"10,337","349,754","8,356","9,740,560"
02/03/2021,"1,785",33,"55,985","259,784","7,411","6,057,549"
12/01/2021,"2,095",5,"34,670","434,053","8,991","12,843,956"
05/14/2021,245,8,"18,331","346,012","8,289","9,196,379"
04/26/2021,846,9,"41,954","339,090","8,194","8,745,598"
04/28/2022,"1,236",1,"15,000","764,662","10,885","16,009,133"
08/13/2021,670,3,"19,429","364,273","8,412","10,359,464"
11/13/2021,565,8,"12,566","413,815","8,883","12,387,445"
03/19/2021,"1,155",7,"32,711","298,990","7,951","7,502,951"
03/10/2021,"1,007",8,"39,160","289,765","7,880","7,212,535"
07/22/2020,90,2,"14,343","48,883","4,454","764,356"
08/09/2021,834,3,"24,246","361,462","8,398","10,275,091"
05/15/2021,119,7,"8,111","346,131","8,296","9,204,490"
04/02/2020,890,38,"2,404","8,564",187,"30,285"
04/12/2022,967,2,"15,358","749,354","10,850","15,813,947"
04/18/2022,"1,172",0,"17,130","754,286","10,860","15,881,435"
08/27/2021,673,1,"20,878","373,622","8,472","10,628,520"
03/24/2020,470,6,"2,047","2,428",26,"12,413"
05/11/2021,333,3,"30,334","345,196","8,274","9,131,085"
01/30/2021,"1,007",24,"20,652","255,375","7,301","5,926,585"
09/10/2020,164,1,"21,690","54,469","4,509","1,474,512"
08/29/2020,86,2,"8,203","52,762","4,497","1,267,795"
02/06/2021,863,17,"18,105","263,290","7,473","6,157,777"
01/04/2022,"13,570",35,"52,877","595,316","9,490","14,056,370"
10/26/2020,"1,002",12,"39,931","70,981","4,652","2,504,653"
05/19/2021,188,2,"22,201","346,952","8,308","9,286,279"
11/17/2021,932,7,"28,265","417,221","8,905","12,492,159"
09/06/2020,73,0,"5,566","53,774","4,505","1,388,152"
11/27/2021,964,8,"15,340","426,560","8,967","12,712,176"
05/14/2020,522,51,"7,742","38,097","3,487","180,414"
06/13/2022,802,2,"12,242","817,678","11,026","16,536,191"
08/23/2020,49,1,"5,843","51,870","4,492","1,160,530"
07/01/2021,51,0,"9,148","350,071","8,358","9,798,103"
04/15/2022,863,1,"10,837","752,119","10,855","15,853,149"
06/04/2022,432,3,"3,775","812,244","11,004","16,460,046"
12/05/2021,"1,159",9,"17,598","440,696","9,024","12,949,251"
09/11/2020,179,2,"17,435","54,648","4,511","1,491,947"
12/07/2020,"2,828",30,"43,905","145,750","5,416","3,966,542"
10/09/2020,415,2,"25,361","61,761","4,563","2,093,110"
11/12/2021,716,5,"22,098","413,250","8,875","12,374,879"
01/10/2022,"9,153",30,"47,575","639,634","9,692","14,260,760"
01/26/2021,"1,732",24,"50,004","249,695","7,203","5,783,284"
06/17/2022,578,1,"8,688","820,177","11,032","16,575,350"
08/23/2021,877,4,"26,210","370,446","8,453","10,534,710"
03/30/2021,"1,445",7,"43,397","312,992","8,022","7,883,154"
04/30/2022,885,2,"6,946","766,649","10,893","16,028,878"
03/14/2021,584,5,"13,614","293,074","7,911","7,306,408"
08/21/2020,106,1,"14,563","51,735","4,491","1,147,904"
04/29/2022,"1,102",6,"12,799","765,764","10,891","16,021,932"
