CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,Unnamed_Column_10
,,,4456191,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4407381,Station Wagon/Sport Utility Vehicle,Bike,,,,
,,,4456123,Sedan,Sedan,,,,
Unspecified,,,4456210,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,,,
,,,4408798,Sedan,Sedan,,,,
,,,4513947,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4407880,Sedan,Sedan,,,,
,,,4408067,Sedan,,,,,
,,,4456991,Sedan,Sedan,,,,
,,,4408809,Station Wagon/Sport Utility Vehicle,,,,,
,,,4456184,Sedan,,,,,
,,,4408087,Station Wagon/Sport Utility Vehicle,,,,,
,,,4513783,Pick-up Truck,Sedan,,,,
,,,4407746,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4408189,Station Wagon/Sport Utility Vehicle,,,,,
,,,4456657,Sedan,Sedan,,,,
,,,4408426,Sedan,Sedan,,,,
,,,4407876,Station Wagon/Sport Utility Vehicle,,,,,
,,,4456740,Sedan,Sedan,,,,
,,,4408429,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,,
,,,4408292,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4455986,Sedan,,,,,
,,,4408818,Sedan,Sedan,,,,
,,,4407632,Sedan,Sedan,,,,
,,,4456373,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4514243,Pick-up Truck,Sedan,,,,
,,,4408373,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408364,Sedan,,,,,
,,,4456379,Sedan,,,,,
,,,4456845,Sedan,,,,,
,,,4456672,Station Wagon/Sport Utility Vehicle,E-Bike,,,,
,,,4514412,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4407391,Station Wagon/Sport Utility Vehicle,,,,,
12/13/2021,0:34,,,40.701275,-73.88887,"(40.701275°, -73.88887°)",MYRTLE AVENUE,,
,,,4407993,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4455921,Sedan,Tractor Truck Diesel,,,,
,,,4455975,Sedan,Bike,,,,
,,,4456480,Sedan,,,,,
Unspecified,,,4514398,Sedan,Station Wagon/Sport Utility Vehicle,,,,
04/24/2022,15:35,MANHATTAN,10019,40.767242,-73.986206,"(40.767242°, -73.986206°)",WEST 56 STREET,9 AVENUE,
,,,4456880,Station Wagon/Sport Utility Vehicle,Bike,,,,
,,,4397513,Pick-up Truck,Sedan,,,,
,,,4485316,Station Wagon/Sport Utility Vehicle,,,,,
,,,4456540,Dump,Station Wagon/Sport Utility Vehicle,,,,
,,,4456551,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408453,Sedan,,,,,
,,,4456535,Box Truck,Box Truck,,,,
,,,4455839,E-Bike,,,,,
Unspecified,,,4407994,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4513793,Sedan,,,,,
,,,4457214,Sedan,Bike,,,,
,,,4408390,Sedan,,,,,
,,,4407721,Sedan,,,,,
,,,4514240,Motorcycle,Motorcycle,,,,
,,,4522228,Sedan,Pick-up Truck,,,,
,,,4408238,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4457039,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4407510,Sedan,Sedan,,,,
09/11/2021,2:39,,,,,,WHITESTONE EXPRESSWAY,20 AVENUE,
,,,4513805,Sedan,Sedan,,,,
,,,4456511,Sedan,,,,,
,,,4456896,Sedan,Sedan,,,,
,,,4407503,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4456676,Station Wagon/Sport Utility Vehicle,Flat Bed,,,,
,,,4514285,Station Wagon/Sport Utility Vehicle,,,,,
,,,4407958,Sedan,,,,,
,,,4408334,Station Wagon/Sport Utility Vehicle,,,,,
,,,4407673,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4514248,Station Wagon/Sport Utility Vehicle,,,,,
Unspecified,,,4408629,Station Wagon/Sport Utility Vehicle,Pick-up Truck,Station Wagon/Sport Utility Vehicle,,,
,,,4407411,Sedan,,,,,
,,,4408024,Taxi,Station Wagon/Sport Utility Vehicle,,,,
,,,4485116,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4457015,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4407941,Sedan,Box Truck,,,,
12/09/2021,2:45,QUEENS,11422,40.653023,-73.73895,"(40.653023°, -73.73895°)",149 AVENUE,HUXLEY STREET,
,,,4456058,Station Wagon/Sport Utility Vehicle,Bus,,,,
Unspecified,,,4514191,Sedan,Sedan,Van,,,
Unspecified,,,4456131,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
,,,4407390,Station Wagon/Sport Utility Vehicle,Bike,,,,
,,,4407783,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4456705,Sedan,,,,,
,,,4408676,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4408013,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4277087,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4514219,Sedan,E-Scooter,,,,
,,,4408295,Station Wagon/Sport Utility Vehicle,,,,,
Unspecified,,,4408240,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,
,,,4456347,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408106,Sedan,,,,,
,,,4408363,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4456702,Station Wagon/Sport Utility Vehicle,Bike,,,,
,,,4408424,Sedan,Sedan,,,,
Unspecified,Unspecified,,4407743,Sedan,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,
,,,4514148,Sedan,,,,,
,,,4407478,Sedan,Sedan,,,,
,,,4408407,Sedan,Sedan,,,,
,,,4513569,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408377,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4407658,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4513675,Sedan,Sedan,,,,
,,,4456707,Sedan,Sedan,,,,
,,,4407900,Sedan,Sedan,,,,
,,,4408875,Station Wagon/Sport Utility Vehicle,,,,,
,,,4456281,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4456855,Sedan,,,,,
04/12/2022,19:56,BROOKLYN,11203,40.65011,-73.930214,"(40.65011°, -73.930214°)",UTICA AVENUE,SNYDER AVENUE,
12/14/2021,8:17,BRONX,10475,40.86816,-73.83148,"(40.86816°, -73.83148°)",,,344 BAYCHESTER AVENUE
,,,4408021,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4513575,Station Wagon/Sport Utility Vehicle,,,,,
,,,4514203,Sedan,Bike,,,,
,,,4408343,Sedan,,,,,
,,,4514132,Sedan,Sedan,,,,
12/14/2021,5:46,,,40.744644,-73.77041,"(40.744644°, -73.77041°)",LONG ISLAND EXPRESSWAY,,
,,,4408222,Sedan,Sedan,,,,
,,,4456712,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408404,Taxi,Sedan,,,,
,,,4408231,Sedan,,,,,
,,,4456140,Station Wagon/Sport Utility Vehicle,,,,,
Unspecified,,,4456203,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,
,,,4455992,Pick-up Truck,Sedan,,,,
,,,4407590,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4407893,Station Wagon/Sport Utility Vehicle,,,,,
,,,4407824,Box Truck,,,,,
,,,4408083,Sedan,,,,,
12/14/2021,0:59,,,40.59662,-74.00231,"(40.59662°, -74.00231°)",BELT PARKWAY,,
Unspecified,,,4407427,Sedan,Sedan,Sedan,,,
,,,4456885,Station Wagon/Sport Utility Vehicle,,,,,
,,,4513985,Sedan,Sedan,,,,
,,,4408146,Sedan,,,,,
,,,4408391,Sedan,Taxi,,,,
,,,4408536,Taxi,Sedan,,,,
,,,4408108,Sedan,,,,,
,,,4407797,,,,,,
,,,4407338,Station Wagon/Sport Utility Vehicle,Sedan,,,,
12/14/2021,8:30,,,,,,broadway,west 80 street -west 81 street,
,,,4456643,E-Bike,,,,,
,,,4407892,Sedan,,,,,
,,,4407995,E-Bike,Bike,,,,
,,,4455515,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4407633,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408478,Station Wagon/Sport Utility Vehicle,,,,,
,,,4514089,USPCS,Pick-up Truck,,,,
,,,4456164,Sedan,Sedan,,,,
,,,4513546,Station Wagon/Sport Utility Vehicle,Sedan,,,,
,,,4485234,Taxi,Station Wagon/Sport Utility Vehicle,,,,
,,,4456467,Taxi,Sedan,,,,
,,,4513680,Taxi,Sedan,,,,
,,,4407424,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4407647,Station Wagon/Sport Utility Vehicle,Bike,,,,
,,,4408550,Sedan,Motorcycle,,,,
Unspecified,,,4408285,Sedan,Sedan,Pick-up Truck,,,
,,,4456830,Sedan,Sedan,,,,
04/24/2022,10:27,,,,,,VANWYCK EXPRESSWAY,109 AVENUE,
,,,4456679,Sedan,Sedan,,,,
,,,4514154,Station Wagon/Sport Utility Vehicle,Bus,,,,
,,,4407470,CATER,Station Wagon/Sport Utility Vehicle,,,,
,,,4408165,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4456787,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4456608,Sedan,Sedan,,,,
,,,4408597,Sedan,,,,,
,,,4514217,Sedan,Sedan,,,,
,,,4521782,Sedan,,,,,
,,,4513564,Box Truck,Station Wagon/Sport Utility Vehicle,,,,
,,,4407867,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4407119,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4455943,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4407969,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408089,Sedan,,,,,
Unspecified,Unspecified,Unspecified,4408336,Taxi,Sedan,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,
Unspecified,,,4455832,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Sedan,,,
,,,4456529,Sedan,,,,,
,,,4456745,Sedan,Sedan,,,,
,,,4456626,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4514347,Sedan,,,,,
,,,4513954,Station Wagon/Sport Utility Vehicle,,,,,
,,,4456746,Sedan,Sedan,,,,
Unspecified,Unspecified,Unspecified,4408631,Sedan,Sedan,Sedan,Sedan,Sedan,
,,,4408804,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
Unspecified,,,4456992,Sedan,Station Wagon/Sport Utility Vehicle,Sedan,,,
,,,4407299,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408449,Sedan,E-Scooter,,,,
,,,4409064,Sedan,Sedan,,,,
,,,4407820,Trailer,Station Wagon/Sport Utility Vehicle,,,,
,,,4407398,Pick-up Truck,Sedan,,,,
Unspecified,,,4408583,Station Wagon/Sport Utility Vehicle,Sedan,Sedan,,,
,,,4408509,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4485894,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408181,Sedan,Bike,,,,
,,,4409019,Station Wagon/Sport Utility Vehicle,,,,,
,,,4407475,Motorcycle,,,,,
,,,4408080,Sedan,,,,,
Unspecified,,,4408038,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,
,,,4408000,Sedan,,,,,
,,,4408554,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4455928,Motorcycle,Sedan,,,,
,,,4513891,Pick-up Truck,Sedan,,,,
,,,4408489,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408470,Station Wagon/Sport Utility Vehicle,,,,,
,,,4408099,Station Wagon/Sport Utility Vehicle,,,,,
,,,4407327,Sedan,Station Wagon/Sport Utility Vehicle,,,,
,,,4403773,Sedan,Sedan,,,,
,,,4456681,Sedan,,,,,
,,,4407886,Sedan,,,,,
,,,4407595,Station Wagon/Sport Utility Vehicle,Station Wagon/Sport Utility Vehicle,,,,
,,,4408365,Sedan,Sedan,,,,
,,,4456076,Bike,Sedan,,,,
,,,4513582,Station Wagon/Sport Utility Vehicle,Bike,,,,
